ID	Value
HED10019	[[ভারত\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[ইংল্যান্ড\N_NNP]]_NP [[আর\CC_CCD]]_CCP [[আমেরিকায়\N_NNP]]_NP [[বিদ্যালয়ও\N_NN স্থাপন\N_NN করেন\V_VM_VF]]_VGF [[যেগুলির\PR_PRL বিষয়ে\N_NN ওনার\PR_PRP ভাবাদর্শ\N_NN ছিল\V_VAUX]]_VGF [[যে\RP_RPD]]_CCP [[শিক্ষায়\N_NN]]_NP [[কেবল\RP_RPD]]_RBP [[শাস্ত্রীয়\JJ বৌদ্ধিক\JJ কৌশলই\N_NN]]_NP [[নয়\V_VAUX]]_NEGP [[বরং\CC_CCS]]_CCP [[মন\N_NN]]_NP [[,\RD_PUNC]]_CCP [[মস্তিষ্ককে\N_NN]]_NP [[বোঝার\V_VM_VNG উপরও\PSP]]_NP [[গুরুত্ব\N_NN দেওয়া\V_VM_VNG]]_VGNN [[উচিত\N_NN]]_JJP [[৷\RD_PUNC]]_BLK
HED10020	[[জীবন\N_NN যাপন\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[প্রযুক্তির\N_NN কৌশল\N_NN]]_NP [[ছাড়াও\PSP]]_BLK [[বেঁচে\V_VM_VNF থাকার\V_VM_VNG কলা\N_NN কৌশলও\N_NN]]_NP [[শেখানো\V_VM_VNG]]_VGNN [[উচিত\N_NN]]_JJP [[।\RD_PUNC]]_BLK
HED10021	[[এর\PR_PRL দ্বারা\PSP ওনার\PR_PRP অভিপ্রায়\N_NN ছিল\V_VAUX]]_VGF [[আধ্যাত্মিকতার\JJ মাধ্যমে\PSP]]_NP [[শিক্ষাকে\N_NN]]_NP [[আকস্মিক\JJ চর্চা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[সংলাপ\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[আলোচনার\N_NN]]_NP [[কাছাকাছি\PSP]]_BLK [[নিয়ে\V_VM_VNF যাওয়া\V_VM_VNG]]_VGNN [[৷\RD_PUNC]]_BLK
HED10022	[[১৯৮৬\QT_QTC সালের\N_NN ১৭ই\QT_QTO ফেব্রুয়ারি\N_NNP]]_NP [[জে.\N_NNP কৃষ্ণমূর্তি\N_NNP মহাশয়ের\N_NN]]_NP [[জীবনাবসান\N_NN ঘটে\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10023	[[তাঁর\PR_PRP সাহিত্য\N_NN]]_NP [[প্রধানত\RB]]_RBP [[ইংরেজী\N_NNP ভাষায়\N_NN রয়েছে\V_VM_VF]]_VGF [[,\RD_PUNC]]_CCP [[যেগুলি\PR_PRL]]_BLK [[বেশ\RP_INTF কয়েকটি\QT_QTF মুখ্য\JJ প্রচলিত\JJ ভাষাতে\N_NN]]_NP [[অনুবাদ\N_NN করা\V_VM_VNG হয়েছে\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10024	[[বার্তা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[প্রশ্নোত্তর\N_NN]]_NP [[,\RD_PUNC]]_CCP [[আলোচনা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[সাক্ষাত্কার\N_NN]]_NP [[,\RD_PUNC]]_CCP [[পারস্পরিক\JJ সংবাদ\N_NN]]_NP [[,\RD_PUNC]]_CCP [[প্রবচনের\N_NN]]_NP [[অডিও\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[ভিডিও\N_NN]]_NP [[টেপও\N_NN]]_NP [[উপলব্ধ\JJ]]_JJP [[।\RD_PUNC]]_BLK
HED10025	[[কিছু\QT_QTF চিন্তাবিদদের\N_NN]]_NP [[মতে\N_NN]]_RBP [[জে.\N_NNP কৃষ্ণমূর্তির\N_NNP চিন্তাধারার\N_NN মাধ্যমে\PSP]]_NP [[ধর্ম\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[দর্শনের\N_NN]]_NP [[শেষ\N_NN হয়।\V_VAUX]]_VGF
HED10026	[[পৃথিবীকে\N_NN সুন্দর\JJ বানানোর\V_VM_VNG জন্য\PSP]]_NP [[বাস্তববাদী\JJ]]_JJP [[এবং\CC_CCD]]_CCP [[সঠিক\JJ]]_JJP [[পথে\N_NN চলা\V_VM_VNG]]_VGNN [[প্রয়োজনীয়\JJ]]_JJP [[।\RD_PUNC]]_BLK
HED10027	[[আপনার\PR_PRP অন্তরে\N_NN]]_NP [[যেন\RP_RPD]]_CCP [[কিছুই\QT_QTF]]_BLK [[না\RP_NEG থাকে\V_VM_VF]]_VGF [[তবেই\CC_CCS]]_CCP [[আপনি\PR_PRP]]_NP [[এক\QT_QTC]]_NP [[পরিষ্কার\JJ]]_JJP [[এবং\CC_CCD]]_CCP [[সুস্পষ্ট\JJ]]_JJP [[আকাশ\N_NN হওয়ার\V_VM_VNG জন্য\PSP]]_NP [[প্রস্তুত\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10028	[[জীবন\N_NN]]_NP [[পৃথিবীর\N_NN অংশ\N_NN]]_NP [[নয়\V_VAUX]]_NEGP [[,\RD_PUNC]]_BLK [[আপনি\PR_PRP নিজেই\PR_PRF]]_NP [[আকাশ\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10029	[[জে.\N_NNP কৃষ্ণমুর্তি\N_NNP বলেছেন\V_VM_VF]]_VGF [[যে\CC_CCS]]_CCP [[যদি\CC_CCS]]_CCP [[আপনি\PR_PRP]]_NP [[নিজেকে\PR_PRF বড়\JJ কেউ\PR_PRQ ভাবেন\V_VM_VF]]_VGF [[তাহলে\CC_CCS]]_CCP [[আপনি\PR_PRP]]_NP [[তা\PR_PRL]]_BLK [[নন\V_VAUX]]_NEGP [[।\RD_PUNC]]_BLK
HED10030	[[জে.\N_NNP কৃষ্ণমুর্তির\N_NNP চিন্তাধারায়\N_NN]]_NP [[সরলতা\JJ]]_NP [[,\RD_PUNC]]_CCP [[বুদ্ধিমত্তা\JJ]]_NP [[রয়েছে\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10031	[[তাঁর\PR_PRP শিক্ষা\N_NN]]_NP [[যেটা\PR_PRL তাঁর\PR_PRP]]_NP [[গভীর\JJ মনোযোগ\N_NN]]_NP [[,\RD_PUNC]]_CCP [[সঠিক\JJ জ্ঞান\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[শ্রেষ্ঠ\JJ ব্যবহারের\N_NN]]_NP [[ভিত্তি\N_NN]]_NP [[তা\PR_PRL]]_NP [[পৃথিবীর\N_NN]]_NP [[সমগ্র\JJ দার্শনিক\JJ]]_NP [[,\RD_PUNC]]_CCP [[ধার্মিক\JJ]]_NP [[এবং\CC_CCD]]_CCP [[মনোবৈজ্ঞানিকদের\N_NN]]_NP [[প্রভাবিত\JJ]]_JJP [[করেছে\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10032	[[ওনার\PR_PRP বক্তব্য\JJ ছিল\V_VAUX]]_VGF [[যে\RP_RPD]]_CCP [[আপনি\PR_PRP]]_NP [[পরম্পরা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[দেশ\N_NN]]_NP [[আর\CC_CCD]]_CCP [[সময়ের\N_NN]]_NP [[সাপেক্ষে\N_NN]]_NP [[যাই\PR_PRL জেনেছেন\V_VM_VF]]_VGF [[সেই\PR_PRL ধারণার\N_NN থেকে\PSP মু্ক্ত\N_NN হয়েই\V_VAUX]]_VGNF [[আপনি\PR_PRP]]_NP [[প্রকৃত\N_NN অর্থে\N_NN মানুষ\N_NN হতে\V_VM_VINF পারবেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10033	[[বিশ্বচিন্তাবিদ\JJ]]_NP [[হিসেবে\RP_RPD]]_RBP [[কৃষ্ণমূর্তির\N_NNP চিন্তাধারা\N_NN]]_NP [[ছিল\V_VAUX]]_VGF [[বৈপ্লবিক\JJ]]_JJP [[।\RD_PUNC]]_BLK
HED10034	[[কৃষ্ণমূর্তির\N_NNP চিন্তাভাবনা\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[আ্যটম\N_NN বোমা\N_NN আবিষ্কার\N_NN]]_NP [[দুটোর\QT_QTC গুরুত্বই\N_NN সমান\N_NN বলে\V_VM_VNF মনে\N_NN করা\V_VM_VNG হয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10035	[[কৃষ্ণমূর্তি\N_NNP]]_NP [[তাঁর\PR_PRP মা-বাবার\N_NN অষ্টম\QT_QTO সন্তান\N_NN]]_NP [[ছিলেন\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10036	[[এই\DM_DMD জন্য\PSP]]_NP [[তাঁর\PR_PRP নাম\N_NN]]_NP [[কৃষ্ণমূর্তি\N_NNP]]_NP [[রাখা\V_VM_VNG হয়েছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10037	[[কৃষ্ণও\N_NNP]]_NP [[বাসুদেবের\N_NNP অষ্টমতম\QT_QTO সন্তান\N_NN]]_NP [[ছিলেন\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10038	[[১৮৯৫\QT_QTC সালে\N_NN]]_NP [[অন্ধ্রপ্রদেশের\N_NNP মদনাপালিতে\N_NNP]]_NP [[মধ্যবিত্ত\JJ ব্রাক্ষণ\N_NNP পরিবারে\N_NN]]_NP [[কৃষ্ণমূর্তির\N_NNP]]_NP [[জন্ম\N_NN হয়েছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10039	[[তাঁর\PR_PRP মা-বাবা\N_NN]]_NP [[আস্তিক\JJ]]_JJP [[ছিলেন\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10040	[[তাঁরা\PR_PRP]]_NP [[কৃষ্ণমূর্তি\N_NNP]]_NP [[এবং\CC_CCD]]_CCP [[তাঁর\PR_PRP ছোট\JJ ভাই\N_NN নিতিয়াকে\N_NNP]]_NP [[থিয়োসোফিকল\N_NNP সোসাইটির\N_NNP অধ্যক্ষ\N_NN ডাঃ\JJ এ্যানি\N_NNP বেসান্তের\N_NNP হাতে\N_NN]]_NP [[তুলে\V_VM_VNF দেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10041	[[বাল্যকালেই\RB]]_RBP [[ডব্লু\N_NNP লীডবিটার\N_NNP]]_NP [[কৃষ্ণমূর্তিকে\N_NNP]]_NP [[চিনতে\V_VM_VINF পারেন\V_VM_VF]]_VGF [[যিনি\PR_PRL কিনা\RP_RPD]]_BLK [[অ্যানি\N_NNP বেসন্তের\N_NNP]]_NP [[সহকারী\JJ]]_NP [[এবং\CC_CCD]]_CCP [[দূরদৃষ্টি\N_NN সম্পন্ন\N_NN মানুষ\N_NN]]_NP [[ছিলেন\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
HED10042	[[তখন\PR_PRL]]_RBP [[কৃষ্ণমূর্তির\N_NNP বয়স\N_NN]]_NP [[১৩\QT_QTC বছর\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10043	[[সবার\QT_QTF মনে\N_NN হয়\V_VAUX]]_VGF [[যে\RP_RPD]]_CCP [[কৃষ্ণমূর্তিই\N_NNP]]_NP [[সেই\PR_PRL ছেলে\N_NN]]_NP [[যাকে\PR_PRL]]_BLK [[অ্যানি\N_NNP বেসান্ত\N_NNP]]_NP [[‘\RD_PUNC মুক্তিদাতা\N_NN ’\RD_PUNC হিসেবে\RP_RPD]]_RBP [[নির্বাচন\N_NN করেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10044	[[এমনকি\RB]]_RBP [[তিনি\PR_PRL]]_NP [[তাঁর\PR_PRP জন্য\PSP]]_NP [[‘অর্ডার\N_NNP অফ\N_NNP দি\N_NNP স্টার’ও\N_NNP]]_NP [[প্রতিষ্ঠা\N_NN করেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10045	[[সত্যি\N_NN তো\RP_RPD]]_NP [[স্বয়ং\PR_PRF তোমার\PR_PRP অন্তরে\N_NN]]_NP [[রয়েছে\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10046	[[সত্যের\N_NN অনুসন্ধান\N_NN করার\V_VM_VNG জন্য\PSP]]_NP [[মানুষের\N_NN]]_NP [[সকল\QT_QTF বন্ধন\N_NN থেকে\PSP]]_NP [[মুক্ত\N_NN হওয়া\V_VM_VNG]]_VGNN [[প্রয়োজন\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10047	[[তিনি\PR_PRL]]_NP [[সারাটা\JJ জীবন\N_NN]]_NP [[একজন\QT_QTC]]_NP [[শিক্ষক\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[ছাত্র\N_NN]]_NP [[হিসেবে\RP_RPD]]_RBP [[অতিবাহিত\JJ]]_JJP [[করেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10048	[[মানুষের\N_NN মতন\RP_RPD মানুষ\N_NN হওয়াই\V_VM_VNG]]_VGNN [[মানুষের\N_NN মুক্তিলাভের\N_NN]]_NP [[শুরু\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10049	[[কিন্তু\CC_CCS]]_CCP [[আজকালকার\RB]]_RBP [[মানুষ\N_NN]]_NP [[হিন্দু\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[বৌদ্ধ\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[খ্রীষ্টান\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[মুসলমান\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[আমেরিকান\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[আরবি\N_NNP]]_NP [[অথবা\CC_CCD]]_CCP [[চিনা\N_NNP]]_NP [[।\RD_PUNC]]_BLK
HED10050	[[কৃষ্ণমূর্তির\N_NNP ইংরেজীতে\N_NNP লেখা\V_VM_VNG বইগুলি\N_NN]]_NP [[সারা\JJ পৃথিবীর\N_NN প্রধান\JJ ভাষাগুলিতে\N_NN]]_NP [[অনুবাদ\N_NN করা\V_VM_VNG হয়েছে\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10051	[[যা\PR_PRL]]_BLK [[মনোযোগ\N_NN সহকারে\PSP]]_NP [[পড়া\V_VM_VNG হয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10052	[[আধুনিক\JJ হিন্দী\N_NNP সাহিত্যে\N_NN]]_NP [[সুমিত্রানন্দন\N_NN পন্তকে\N_NNP]]_NP [[মহান\JJ কবি\N_NN]]_NP [[হিসেবে\RP_RPD]]_RBP [[মনে\N_NN করা\V_VM_VNG হয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10053	[[উনি\PR_PRP]]_NP [[প্রকৃতি\N_NN]]_NP [[,\RD_PUNC]]_CCP [[যথার্থতা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[আধ্যাত্মিক\JJ জীবন\N_NN চেতনার\N_NN]]_NP [[কবি\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10054	[[‘\RD_PUNC চিন্দবরা\N_NNP ’\RD_PUNC নামক\N_NN কাব্য\N_NN রচনার\N_NN জন্য\PSP]]_NP [[তাঁকে\PR_PRP]]_NP [[দেশের\N_NN সর্বোচ্চ\JJ জ্ঞানপীঠ\N_NNP পুরস্কারে\N_NN]]_NP [[সম্মানিত\JJ করা\V_VM_VNG হয়েছে\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10055	[[হিন্দী\N_NNP সাহিত্যে\N_NN]]_NP [[সুমিত্রানন্দন\N_NN পন্ত\N_NNP (\RD_SYM ২০শে\QT_QTC মে\N_NNP ,\RD_PUNC ১৯০০\QT_QTC -\RD_PUNC ২৮\QT_QTC সেপ্টম্বর\N_NNP ১৯৭৭\QT_QTC )\RD_SYM]]_NP [[ছায়াবাদী\JJ যুগের\N_NN চার\QT_QTC স্তম্ভের\N_NN মধ্যে\PSP একজন\QT_QTC]]_NP [[।\RD_PUNC]]_BLK
HED10056	[[বিশ\QT_QTC শতাব্দীর\N_NN প্রথমার্ধ\QT_QTO]]_NP [[ছায়াবাদী\JJ কবিতা\N_NN রচনার\N_NN যুগ\N_NN]]_NP [[ছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10057	[[হিন্দী\N_NNP সাহিত্যে\N_NN]]_NP [[সেই\PR_PRL নতুন\JJ যুগের\N_NN প্রবর্তক\JJ]]_NP [[হিসেবে\RP_RPD]]_RBP [[সুমিত্রাচন্দন\N_NN পন্ত\N_NNP]]_NP [[উদিত\JJ]]_JJP [[হন\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10058	[[প্রকৃতি\N_NN চিত্র\N_NN অঙ্কনে\N_NN]]_NP [[সুমিত্রানন্দন\N_NN]]_NP [[সবার\QT_QTF মধ্যে\PSP শ্রেষ্ঠ\JJ ছিলেন\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10059	[[বরফে\N_NN আচ্ছাদিত\JJ পাহাড়ের\N_NN এক\QT_QTC অত্যন্ত\RP_INTF আর্কষণীয়\JJ জায়গা\N_NN আলমোড়াতে\N_NNP]]_NP [[তাঁর\PR_PRP জন্ম\N_NN হয়েছিল\V_VAUX]]_VGF [[,\RD_PUNC]]_BLK [[যার\PR_PRL প্রাকৃতিক\JJ সৌন্দর্য\JJ]]_NP [[তাঁর\PR_PRP মনের\N_NN মধ্যে\PSP]]_NP [[গেঁথে\V_VM_VNF গেছিল\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10060	[[ঝরনা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[বরফ\N_NN]]_NP [[,\RD_PUNC]]_CCP [[ফুল\N_NN]]_NP [[,\RD_PUNC]]_CCP [[লতা\N_NN]]_NP [[,\RD_PUNC]]_CCP [[ভ্রমরের\N_NN গুঞ্জন\N_NN]]_NP [[,\RD_PUNC]]_CCP [[ভোরের\N_NN আলো\N_NN]]_NP [[,\RD_PUNC]]_CCP [[ঠান্ডা\JJ হাওয়া\N_NN]]_NP [[,\RD_PUNC]]_CCP [[নক্ষত্রের\N_NN ওড়না\N_NN উড়িয়ে\V_VM_VNF আকাশ\N_NN থেকে\PSP নেমে\V_VM_VNF আসা\V_VM_VNG সন্ধ্যাকে\N_NN]]_NP [[তিনি\PR_PRL]]_NP [[খুব\RP_INTF সাবলীলভাবে\RB]]_RBP [[কাব্যে\N_NN]]_NP [[ফুটিয়ে\V_VM_VNF তুলেছেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
